location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
timestamp,max,min,mean
20101029T0000,89.0,56.0,72.833336
20101030T0000,89.0,72.0,78.875
20101031T0000,88.0,57.0,76.291664
20101101T0000,89.0,67.0,78.875
20101102T0000,93.0,71.0,83.333336
20101103T0000,87.0,64.0,77.0
20101104T0000,86.0,69.0,78.541664
20101105T0000,92.0,64.0,79.291664
20101106T0000,92.0,68.0,76.166664
20101107T0000,96.0,77.0,85.625
20101108T0000,89.0,55.0,75.208336
20101109T0000,92.0,61.0,77.0
20101110T0000,88.0,58.0,75.083336
20101111T0000,90.0,51.0,74.0
20101112T0000,80.0,68.0,72.791664
20101113T0000,73.0,54.0,64.25
20101114T0000,96.0,44.0,74.666664
20101115T0000,97.0,85.0,92.833336
20101116T0000,96.0,88.0,91.833336
20101117T0000,96.0,70.0,85.875
20101118T0000,93.0,68.0,82.125
20101119T0000,90.0,68.0,80.208336
20101120T0000,88.0,61.0,73.541664
20101121T0000,93.0,76.0,86.166664
20101122T0000,94.0,79.0,87.791664
20101123T0000,89.0,69.0,82.791664
20101124T0000,91.0,71.0,81.0
20101125T0000,94.0,61.0,78.041664
20101126T0000,96.0,75.0,86.083336
20101127T0000,94.0,67.0,81.875
20101128T0000,92.0,71.0,83.875
20101129T0000,95.0,78.0,87.75
20101130T0000,89.0,58.0,76.291664
20101201T0000,94.0,74.0,83.916664
20101202T0000,89.0,70.0,81.5
20101203T0000,92.0,70.0,84.791664
20101204T0000,95.0,61.0,79.25
20101205T0000,98.0,74.0,88.208336
20101206T0000,96.0,92.0,93.791664
20101207T0000,97.0,83.0,91.583336
20101208T0000,97.0,65.0,84.625
20101209T0000,92.0,67.0,82.75
20101210T0000,92.0,74.0,84.125
20101211T0000,92.0,74.0,84.125
20101212T0000,95.0,69.0,85.375
20101213T0000,96.0,55.0,80.625
20101214T0000,91.0,47.0,77.708336
20101215T0000,93.0,53.0,79.083336
20101216T0000,94.0,55.0,75.541664
20101217T0000,96.0,73.0,84.25
20101218T0000,86.0,62.0,71.5
20101219T0000,95.0,55.0,77.708336
20101220T0000,93.0,71.0,80.25
20101221T0000,95.0,76.0,84.541664
20101222T0000,93.0,78.0,86.0
20101223T0000,96.0,82.0,90.291664
20101224T0000,96.0,93.0,95.166664
20101225T0000,94.0,77.0,90.208336
20101226T0000,94.0,52.0,81.583336
20101227T0000,85.0,49.0,71.5
20101228T0000,100.0,87.0,93.75
20101229T0000,98.0,86.0,92.5
20101230T0000,97.0,79.0,89.791664
20101231T0000,98.0,74.0,88.416664
20110101T0000,97.0,79.0,88.458336
20110102T0000,97.0,68.0,86.791664
20110103T0000,99.0,61.0,83.625
20110104T0000,94.0,74.0,86.166664
20110105T0000,99.0,71.0,84.958336
20110106T0000,99.0,68.0,76.958336
20110107T0000,93.0,63.0,75.541664
20110108T0000,95.0,60.0,74.916664
20110109T0000,97.0,54.0,82.041664
20110110T0000,94.0,83.0,91.0
20110111T0000,96.0,63.0,85.666664
20110112T0000,92.0,68.0,82.833336
20110113T0000,84.0,74.0,78.875
20110114T0000,88.0,75.0,81.125
20110115T0000,88.0,65.0,75.791664
20110116T0000,88.0,53.0,77.166664
20110117T0000,87.0,55.0,72.0
20110118T0000,88.0,67.0,78.5
20110119T0000,94.0,70.0,84.958336
20110120T0000,96.0,71.0,85.791664
20110121T0000,97.0,55.0,75.375
20110122T0000,96.0,49.0,72.291664
20110123T0000,99.0,64.0,82.208336
20110124T0000,84.0,67.0,73.5
20110125T0000,100.0,68.0,79.458336
20110126T0000,100.0,69.0,84.041664
20110127T0000,99.0,71.0,89.541664
20110128T0000,93.0,63.0,80.458336
