timestamp,max,min,mean
19861117T0000,98.0,86.0,92.958336
19861118T0000,99.0,62.0,85.666664
19861119T0000,89.0,53.0,68.5
19861120T0000,95.0,67.0,82.291664
19861121T0000,97.0,64.0,85.125
19861122T0000,100.0,82.0,93.083336
19861123T0000,100.0,72.0,89.416664
19861124T0000,97.0,64.0,83.875
19861125T0000,100.0,57.0,82.416664
19861126T0000,98.0,55.0,86.708336
19861127T0000,100.0,71.0,89.375
19861128T0000,100.0,61.0,86.958336
19861129T0000,96.0,61.0,82.041664
19861130T0000,95.0,57.0,79.125
19861201T0000,95.0,58.0,77.291664
19861202T0000,92.0,58.0,76.75
19861203T0000,86.0,55.0,72.958336
19861204T0000,84.0,55.0,72.833336
19861205T0000,91.0,56.0,75.958336
19861206T0000,100.0,59.0,83.083336
19861207T0000,100.0,79.0,94.333336
19861208T0000,100.0,65.0,88.166664
19861209T0000,97.0,81.0,90.416664
19861210T0000,98.0,68.0,85.125
